country,year,HIV.perc
Gabon,1979,0.042124436
Gambia,1979,NA
Georgia,1979,NA
Germany,1979,NA
Ghana,1979,NA
Gibraltar,1979,NA
Greece,1979,0.018909064
Greenland,1979,NA
Grenada,1979,NA
Guadeloupe,1979,NA
Guam,1979,NA
Guatemala,1979,NA
Guernsey,1979,NA
Guinea,1979,0.015019429
Guinea-Bissau,1979,NA
Guyana,1979,0.030135016
Haiti,1979,0.155026457
Holy See,1979,NA
Honduras,1979,0.01
"Hong Kong, China",1979,NA
Hungary,1979,NA
Iceland,1979,0.012373161
India,1979,NA
Indonesia,1979,NA
Iran,1979,NA
Iraq,1979,NA
Ireland,1979,NA
Isle of Man,1979,NA
Israel,1979,0.012167647
Italy,1979,0.01
Jamaica,1979,0.014488867
Japan,1979,NA
Jersey,1979,NA
Jordan,1979,NA
Kazakhstan,1979,NA
Kenya,1979,0.07
Kiribati,1979,NA
North Korea,1979,NA
South Korea,1979,NA
"United Korea (former)
",1979,NA
Kosovo,1979,NA
Kuwait,1979,NA
Kyrgyz Republic,1979,NA
Lao,1979,NA
Latvia,1979,NA
Lebanon,1979,0.012167647
Lesotho,1979,NA
Liberia,1979,0.01185026
Libya,1979,NA
Liechtenstein,1979,NA
Lithuania,1979,NA
Luxembourg,1979,0.013690696
"Macao, China",1979,NA
"Macedonia, FYR",1979,NA
Madagascar,1979,NA
Malawi,1979,NA
Malaysia,1979,NA
Maldives,1979,NA
Mali,1979,NA
Malta,1979,NA
Marshall Islands,1979,NA
Martinique,1979,NA
Mauritania,1979,NA
Mauritius,1979,NA
Mayotte,1979,NA
Mexico,1979,0.03122474
"Micronesia, Fed. Sts.",1979,NA
Moldova,1979,NA
Monaco,1979,NA
Mongolia,1979,NA
Montenegro,1979,NA
Montserrat,1979,NA
Morocco,1979,NA
Mozambique,1979,0.075681075
Myanmar,1979,NA
Namibia,1979,0.016749108
Nauru,1979,NA
Nepal,1979,NA
Netherlands,1979,NA
Netherlands Antilles,1979,NA
New Caledonia,1979,NA
New Zealand,1979,NA
Ngorno-Karabakh,1979,NA
Nicaragua,1979,NA
Niger,1979,NA
Nigeria,1979,0.037979687
Niue,1979,NA
Norfolk Island,1979,NA
Northern Cyprus,1979,NA
Northern Mariana Islands,1979,NA
Norway,1979,NA
Oman,1979,NA
Pakistan,1979,NA
Palau,1979,NA
Panama,1979,0.046410768
Papua New Guinea,1979,NA
Paraguay,1979,NA
Peru,1979,0.010679312
Philippines,1979,NA
Pitcairn,1979,NA
Poland,1979,NA
Portugal,1979,0.02050798
Puerto Rico,1979,NA
Qatar,1979,NA
Reunion,1979,NA
Romania,1979,NA
Russia,1979,NA
Rwanda,1979,0.01
St. BarthÃ©lemy,1979,NA
St. Helena,1979,NA
St. Kitts and Nevis,1979,NA
St. Lucia,1979,NA
St. Martin,1979,NA
St. Vincent and the Grenadines,1979,NA
St.-Pierre-et-Miquelon,1979,NA
Samoa,1979,NA
San Marino,1979,NA
Sao Tome and Principe,1979,NA
Saudi Arabia,1979,NA
Senegal,1979,NA
Serbia,1979,NA
Serbia and Montenegro,1979,NA
Serbia excluding Kosovo,1979,NA
Seychelles,1979,NA
Sierra Leone,1979,NA
Singapore,1979,NA
Slovak Republic,1979,NA
Slovenia,1979,NA
Solomon Islands,1979,NA
Somalia,1979,NA
Somaliland,1979,NA
South Africa,1979,NA
South Ossetia,1979,NA
Spain,1979,0.01
Sri Lanka,1979,NA
Sudan,1979,0.062390639
Suriname,1979,NA
Svalbard,1979,NA
Swaziland,1979,NA
Sweden,1979,NA
Switzerland,1979,NA
Syria,1979,NA
Taiwan,1979,NA
Tajikistan,1979,NA
Tanzania,1979,0.01
Thailand,1979,NA
Timor-Leste,1979,NA
Togo,1979,0.009898522
Tokelau,1979,NA
Tonga,1979,NA
Transnistria,1979,NA
Trinidad and Tobago,1979,NA
Tunisia,1979,NA
Turkey,1979,NA
Turkmenistan,1979,NA
Turks and Caicos Islands,1979,NA
Tuvalu,1979,NA
Uganda,1979,0.01
Ukraine,1979,NA
United Arab Emirates,1979,NA
United Kingdom,1979,NA
United States,1979,0.031764078
Uruguay,1979,0.009697302
USSR,1979,NA
Uzbekistan,1979,NA
Wallis et Futuna,1979,NA
Vanuatu,1979,NA
Venezuela,1979,NA
West Bank and Gaza,1979,NA
West Germany,1979,NA
Western Sahara,1979,NA
Vietnam,1979,NA
Virgin Islands (U.S.),1979,NA
North Yemen (former),1979,NA
South Yemen (former),1979,NA
Yemen,1979,NA
Yugoslavia,1979,NA
Zambia,1979,0.01
Zimbabwe,1979,0.01
Ã…land,1979,NA
South Sudan,1979,NA
Christian,1979,NA
Coastline,1979,NA
CuraÃ§ao,1979,NA
Sint Maarten (Dutch part),1979,NA
St. Martin (French part),1979,NA
Antarctica,1979,NA
"Virgin Islands, British",1979,NA
Hawaiian Trade Zone,1979,NA
U.S. Pacific Islands,1979,NA
Wake Island,1979,NA
Bonaire,1979,NA
Sark,1979,NA
Chinese Taipei,1979,NA
Saint Eustatius,1979,NA
Saba,1979,NA
Abkhazia,1980,NA
Afghanistan,1980,NA
Akrotiri and Dhekelia,1980,NA
Albania,1980,NA
Algeria,1980,NA
American Samoa,1980,NA
Andorra,1980,NA
Angola,1980,NA
Anguilla,1980,NA
Antigua and Barbuda,1980,NA
Argentina,1980,NA
Armenia,1980,NA
Aruba,1980,NA
Australia,1980,NA
Austria,1980,NA
Azerbaijan,1980,NA
Bahamas,1980,NA
Bahrain,1980,NA
Bangladesh,1980,NA
Barbados,1980,NA
Belarus,1980,NA
Belgium,1980,NA
Belize,1980,NA
Benin,1980,NA
Bermuda,1980,NA
Bhutan,1980,NA
Bolivia,1980,NA
Bosnia and Herzegovina,1980,NA
Botswana,1980,NA
Brazil,1980,NA
British Virgin Islands,1980,NA
Brunei,1980,NA
Bulgaria,1980,NA
Burkina Faso,1980,NA
Burundi,1980,NA
Cambodia,1980,NA
Cameroon,1980,0.012524627
Canada,1980,NA
Cape Verde,1980,NA
Cayman Islands,1980,NA
Central African Republic,1980,NA
Chad,1980,NA
Channel Islands,1980,NA
Chile,1980,NA
China,1980,NA
Christmas Island,1980,NA
Cocos Island,1980,NA
Colombia,1980,NA
Comoros,1980,NA
"Congo, Dem. Rep.",1980,NA
"Congo, Rep.",1980,NA
Cook Is,1980,NA
Costa Rica,1980,NA
Cote d'Ivoire,1980,NA
Croatia,1980,NA
Cuba,1980,NA
Cyprus,1980,NA
Czech Republic,1980,NA
Czechoslovakia,1980,NA
Denmark,1980,NA
Djibouti,1980,NA
Dominica,1980,NA
Dominican Republic,1980,NA
East Germany,1980,NA
Ecuador,1980,NA
Egypt,1980,NA
El Salvador,1980,NA
Equatorial Guinea,1980,NA
Eritrea,1980,NA
Eritrea and Ethiopia,1980,NA
Estonia,1980,NA
Ethiopia,1980,NA
Faeroe Islands,1980,NA
Falkland Is (Malvinas),1980,NA
Fiji,1980,NA
Finland,1980,NA
France,1980,NA
French Guiana,1980,NA
French Polynesia,1980,NA
Gabon,1980,NA
Gambia,1980,NA
Georgia,1980,NA
Germany,1980,NA
Ghana,1980,NA
Gibraltar,1980,NA
Greece,1980,NA
Greenland,1980,NA
Grenada,1980,NA
Guadeloupe,1980,NA
Guam,1980,NA
Guatemala,1980,NA
Guernsey,1980,NA
Guinea,1980,NA
Guinea-Bissau,1980,NA
Guyana,1980,NA
Haiti,1980,NA
Holy See,1980,NA
Honduras,1980,NA
"Hong Kong, China",1980,NA
Hungary,1980,NA
Iceland,1980,NA
India,1980,NA
Indonesia,1980,NA
Iran,1980,NA
Iraq,1980,NA
Ireland,1980,NA
Isle of Man,1980,NA
Israel,1980,NA
Italy,1980,NA
Jamaica,1980,NA
Japan,1980,NA
Jersey,1980,NA
Jordan,1980,NA
Kazakhstan,1980,NA
Kenya,1980,NA
Kiribati,1980,NA
North Korea,1980,NA
South Korea,1980,NA
"United Korea (former)
",1980,NA
Kosovo,1980,NA
Kuwait,1980,NA
Kyrgyz Republic,1980,NA
Lao,1980,NA
Latvia,1980,NA
Lebanon,1980,NA
Lesotho,1980,NA
Liberia,1980,NA
Libya,1980,NA
Liechtenstein,1980,NA
Lithuania,1980,NA
Luxembourg,1980,NA
"Macao, China",1980,NA
"Macedonia, FYR",1980,NA
Madagascar,1980,NA
Malawi,1980,0.015321148
Malaysia,1980,NA
Maldives,1980,NA
Mali,1980,NA
Malta,1980,NA
Marshall Islands,1980,NA
Martinique,1980,NA
Mauritania,1980,NA
Mauritius,1980,NA
Mayotte,1980,NA
Mexico,1980,NA
"Micronesia, Fed. Sts.",1980,NA
Moldova,1980,NA
Monaco,1980,NA
Mongolia,1980,NA
Montenegro,1980,NA
Montserrat,1980,NA
Morocco,1980,NA
Mozambique,1980,NA
Myanmar,1980,NA
Namibia,1980,NA
Nauru,1980,NA
Nepal,1980,NA
Netherlands,1980,NA
Netherlands Antilles,1980,NA
New Caledonia,1980,NA
New Zealand,1980,NA
Ngorno-Karabakh,1980,NA
Nicaragua,1980,NA
Niger,1980,NA
Nigeria,1980,NA
Niue,1980,NA
Norfolk Island,1980,NA
Northern Cyprus,1980,NA
Northern Mariana Islands,1980,NA
Norway,1980,NA
Oman,1980,NA
Pakistan,1980,NA
Palau,1980,NA
Panama,1980,NA
Papua New Guinea,1980,NA
Paraguay,1980,NA
Peru,1980,NA
Philippines,1980,NA
Pitcairn,1980,NA
Poland,1980,NA
Portugal,1980,NA
Puerto Rico,1980,NA
Qatar,1980,NA
Reunion,1980,NA
Romania,1980,NA
Russia,1980,NA
Rwanda,1980,NA
St. BarthÃ©lemy,1980,NA
St. Helena,1980,NA
St. Kitts and Nevis,1980,NA
St. Lucia,1980,NA
St. Martin,1980,NA
St. Vincent and the Grenadines,1980,NA
St.-Pierre-et-Miquelon,1980,NA
Samoa,1980,NA
San Marino,1980,NA
Sao Tome and Principe,1980,NA
Saudi Arabia,1980,NA
Senegal,1980,NA
Serbia,1980,NA
Serbia and Montenegro,1980,NA
Serbia excluding Kosovo,1980,NA
Seychelles,1980,NA
Sierra Leone,1980,NA
Singapore,1980,NA
Slovak Republic,1980,NA
Slovenia,1980,NA
Solomon Islands,1980,NA
Somalia,1980,NA
Somaliland,1980,NA
South Africa,1980,NA
South Ossetia,1980,NA
Spain,1980,NA
Sri Lanka,1980,NA
Sudan,1980,NA
Suriname,1980,0.011931256
Svalbard,1980,NA
Swaziland,1980,NA
Sweden,1980,NA
Switzerland,1980,NA
Syria,1980,NA
Taiwan,1980,NA
Tajikistan,1980,NA
Tanzania,1980,NA
Thailand,1980,NA
Timor-Leste,1980,NA
Togo,1980,NA
Tokelau,1980,NA
Tonga,1980,NA
Transnistria,1980,NA
Trinidad and Tobago,1980,NA
Tunisia,1980,NA
Turkey,1980,NA
Turkmenistan,1980,NA
Turks and Caicos Islands,1980,NA
Tuvalu,1980,NA
Uganda,1980,NA
Ukraine,1980,NA
United Arab Emirates,1980,NA
United Kingdom,1980,NA
United States,1980,NA
Uruguay,1980,NA
USSR,1980,NA
Uzbekistan,1980,NA
Wallis et Futuna,1980,NA
Vanuatu,1980,NA
Venezuela,1980,NA
West Bank and Gaza,1980,NA
West Germany,1980,NA
Western Sahara,1980,NA
Vietnam,1980,NA
Virgin Islands (U.S.),1980,NA
North Yemen (former),1980,NA
South Yemen (former),1980,NA
Yemen,1980,NA
Yugoslavia,1980,NA
Zambia,1980,NA
Zimbabwe,1980,NA
Ã…land,1980,NA
South Sudan,1980,NA
Christian,1980,NA
Coastline,1980,NA
CuraÃ§ao,1980,NA
Sint Maarten (Dutch part),1980,NA
St. Martin (French part),1980,NA
Antarctica,1980,NA
"Virgin Islands, British",1980,NA
Hawaiian Trade Zone,1980,NA
U.S. Pacific Islands,1980,NA
Wake Island,1980,NA
Bonaire,1980,NA
Sark,1980,NA
Chinese Taipei,1980,NA
Saint Eustatius,1980,NA
Saba,1980,NA
Abkhazia,1981,NA
Afghanistan,1981,NA
Akrotiri and Dhekelia,1981,NA
Albania,1981,NA
Algeria,1981,NA
American Samoa,1981,NA
Andorra,1981,NA
Angola,1981,NA
Anguilla,1981,NA
Antigua and Barbuda,1981,NA
Argentina,1981,NA
Armenia,1981,NA
Aruba,1981,NA
Australia,1981,NA
Austria,1981,0.010187591
Azerbaijan,1981,NA
Bahamas,1981,NA
Bahrain,1981,NA
Bangladesh,1981,NA
Barbados,1981,NA
Belarus,1981,NA
Belgium,1981,NA
Belize,1981,NA
Benin,1981,NA
Bermuda,1981,NA
Bhutan,1981,NA
Bolivia,1981,NA
Bosnia and Herzegovina,1981,NA
Botswana,1981,NA
Brazil,1981,NA
British Virgin Islands,1981,NA
Brunei,1981,NA
Bulgaria,1981,NA
Burkina Faso,1981,NA
Burundi,1981,NA
Cambodia,1981,NA
Cameroon,1981,NA
Canada,1981,NA
Cape Verde,1981,NA
Cayman Islands,1981,NA
Central African Republic,1981,NA
Chad,1981,NA
Channel Islands,1981,NA
Chile,1981,NA
China,1981,NA
Christmas Island,1981,NA
Cocos Island,1981,NA
Colombia,1981,NA
Comoros,1981,NA
"Congo, Dem. Rep.",1981,NA
"Congo, Rep.",1981,NA
Cook Is,1981,NA
Costa Rica,1981,NA
Cote d'Ivoire,1981,NA
Croatia,1981,NA
Cuba,1981,NA
Cyprus,1981,NA
Czech Republic,1981,NA
Czechoslovakia,1981,NA
Denmark,1981,NA
Djibouti,1981,NA
Dominica,1981,NA
Dominican Republic,1981,NA
East Germany,1981,NA
Ecuador,1981,NA
Egypt,1981,NA
El Salvador,1981,NA
Equatorial Guinea,1981,NA
Eritrea,1981,NA
Eritrea and Ethiopia,1981,NA
Estonia,1981,NA
Ethiopia,1981,NA
Faeroe Islands,1981,NA
Falkland Is (Malvinas),1981,NA
Fiji,1981,NA
Finland,1981,NA
France,1981,0.015708255
French Guiana,1981,NA
French Polynesia,1981,NA
Gabon,1981,NA
Gambia,1981,NA
Georgia,1981,NA
Germany,1981,NA
Ghana,1981,NA
Gibraltar,1981,NA
Greece,1981,NA
Greenland,1981,NA
Grenada,1981,NA
Guadeloupe,1981,NA
Guam,1981,NA
Guatemala,1981,NA
Guernsey,1981,NA
Guinea,1981,NA
Guinea-Bissau,1981,0.009823591
Guyana,1981,NA
Haiti,1981,NA
Holy See,1981,NA
Honduras,1981,NA
"Hong Kong, China",1981,NA
Hungary,1981,NA
Iceland,1981,NA
India,1981,NA
Indonesia,1981,NA
Iran,1981,NA
Iraq,1981,NA
Ireland,1981,NA
Isle of Man,1981,NA
Israel,1981,NA
Italy,1981,NA
Jamaica,1981,NA
Japan,1981,NA
Jersey,1981,NA
Jordan,1981,NA
Kazakhstan,1981,NA
Kenya,1981,NA
Kiribati,1981,NA
North Korea,1981,NA
South Korea,1981,NA
"United Korea (former)
",1981,NA
Kosovo,1981,NA
Kuwait,1981,NA
Kyrgyz Republic,1981,NA
Lao,1981,NA
Latvia,1981,NA
Lebanon,1981,NA
Lesotho,1981,NA
Liberia,1981,NA
Libya,1981,NA
Liechtenstein,1981,NA
Lithuania,1981,NA
Luxembourg,1981,NA
"Macao, China",1981,NA
"Macedonia, FYR",1981,NA
Madagascar,1981,NA
Malawi,1981,NA
Malaysia,1981,NA
Maldives,1981,NA
Mali,1981,NA
Malta,1981,NA
Marshall Islands,1981,NA
Martinique,1981,NA
Mauritania,1981,NA
Mauritius,1981,NA
Mayotte,1981,NA
Mexico,1981,NA
"Micronesia, Fed. Sts.",1981,NA
Moldova,1981,NA
Monaco,1981,NA
Mongolia,1981,NA
Montenegro,1981,NA
Montserrat,1981,NA
Morocco,1981,NA
Mozambique,1981,NA
Myanmar,1981,NA
Namibia,1981,NA
Nauru,1981,NA
Nepal,1981,NA
Netherlands,1981,NA
Netherlands Antilles,1981,NA
New Caledonia,1981,NA
New Zealand,1981,NA
Ngorno-Karabakh,1981,NA
Nicaragua,1981,NA
Niger,1981,NA
Nigeria,1981,NA
Niue,1981,NA
Norfolk Island,1981,NA
Northern Cyprus,1981,NA
Northern Mariana Islands,1981,NA
Norway,1981,NA
Oman,1981,NA
Pakistan,1981,NA
Palau,1981,NA
Panama,1981,NA
Papua New Guinea,1981,NA
Paraguay,1981,NA
Peru,1981,NA
Philippines,1981,NA
Pitcairn,1981,NA
Poland,1981,NA
Portugal,1981,NA
Puerto Rico,1981,NA
Qatar,1981,NA
Reunion,1981,NA
Romania,1981,NA
Russia,1981,NA
Rwanda,1981,NA
St. BarthÃ©lemy,1981,NA
St. Helena,1981,NA
St. Kitts and Nevis,1981,NA
St. Lucia,1981,NA
St. Martin,1981,NA
St. Vincent and the Grenadines,1981,NA
St.-Pierre-et-Miquelon,1981,NA
Samoa,1981,NA
San Marino,1981,NA
Sao Tome and Principe,1981,NA
Saudi Arabia,1981,NA
Senegal,1981,0.00952155
Serbia,1981,NA
Serbia and Montenegro,1981,NA
Serbia excluding Kosovo,1981,NA
Seychelles,1981,NA
Sierra Leone,1981,NA
Singapore,1981,NA
Slovak Republic,1981,NA
Slovenia,1981,NA
Solomon Islands,1981,NA
Somalia,1981,NA
Somaliland,1981,NA
South Africa,1981,0.014208589
South Ossetia,1981,NA
Spain,1981,NA
Sri Lanka,1981,NA
Sudan,1981,NA
Suriname,1981,NA
Svalbard,1981,NA
Swaziland,1981,NA
Sweden,1981,NA
Switzerland,1981,NA
Syria,1981,NA
Taiwan,1981,NA
Tajikistan,1981,NA
Tanzania,1981,NA
Thailand,1981,NA
Timor-Leste,1981,NA
Togo,1981,NA
Tokelau,1981,NA
Tonga,1981,NA
Transnistria,1981,NA
Trinidad and Tobago,1981,NA
Tunisia,1981,NA
Turkey,1981,NA
Turkmenistan,1981,NA
Turks and Caicos Islands,1981,NA
Tuvalu,1981,NA
Uganda,1981,NA
Ukraine,1981,NA
United Arab Emirates,1981,NA
United Kingdom,1981,NA
United States,1981,NA
Uruguay,1981,NA
USSR,1981,NA
Uzbekistan,1981,NA
Wallis et Futuna,1981,NA
Vanuatu,1981,NA
Venezuela,1981,NA
West Bank and Gaza,1981,NA
West Germany,1981,NA
Western Sahara,1981,NA
Vietnam,1981,NA
Virgin Islands (U.S.),1981,NA
North Yemen (former),1981,NA
South Yemen (former),1981,NA
Yemen,1981,NA
Yugoslavia,1981,NA
Zambia,1981,NA
Zimbabwe,1981,NA
Ã…land,1981,NA
South Sudan,1981,NA
Christian,1981,NA
Coastline,1981,NA
CuraÃ§ao,1981,NA
Sint Maarten (Dutch part),1981,NA
St. Martin (French part),1981,NA
Antarctica,1981,NA
"Virgin Islands, British",1981,NA
Hawaiian Trade Zone,1981,NA
U.S. Pacific Islands,1981,NA
Wake Island,1981,NA
Bonaire,1981,NA
Sark,1981,NA
Chinese Taipei,1981,NA
Saint Eustatius,1981,NA
Saba,1981,NA
Abkhazia,1982,NA
Afghanistan,1982,NA
Akrotiri and Dhekelia,1982,NA
Albania,1982,NA
Algeria,1982,NA
American Samoa,1982,NA
Andorra,1982,NA
Angola,1982,NA
Anguilla,1982,NA
Antigua and Barbuda,1982,NA
Argentina,1982,NA
Armenia,1982,NA
Aruba,1982,NA
Australia,1982,NA
Austria,1982,NA
Azerbaijan,1982,NA
Bahamas,1982,NA
Bahrain,1982,NA
Bangladesh,1982,NA
Barbados,1982,NA
Belarus,1982,NA
Belgium,1982,0.014146531
Belize,1982,NA
Benin,1982,NA
Bermuda,1982,NA
Bhutan,1982,NA
Bolivia,1982,NA
Bosnia and Herzegovina,1982,NA
Botswana,1982,NA
Brazil,1982,NA
British Virgin Islands,1982,NA
Brunei,1982,NA
Bulgaria,1982,NA
Burkina Faso,1982,NA
Burundi,1982,NA
Cambodia,1982,NA
Cameroon,1982,NA
Canada,1982,NA
Cape Verde,1982,NA
Cayman Islands,1982,NA
Central African Republic,1982,NA
Chad,1982,NA
Channel Islands,1982,NA
Chile,1982,NA
China,1982,NA
Christmas Island,1982,NA
Cocos Island,1982,NA
Colombia,1982,NA
Comoros,1982,NA
"Congo, Dem. Rep.",1982,NA
"Congo, Rep.",1982,NA
Cook Is,1982,NA
Costa Rica,1982,NA
Cote d'Ivoire,1982,NA
Croatia,1982,NA
Cuba,1982,NA
Cyprus,1982,NA
Czech Republic,1982,NA
Czechoslovakia,1982,NA
Denmark,1982,0.011698226
Djibouti,1982,NA
Dominica,1982,NA
Dominican Republic,1982,NA
East Germany,1982,NA
Ecuador,1982,NA
Egypt,1982,NA
El Salvador,1982,NA
Equatorial Guinea,1982,NA
Eritrea,1982,NA
Eritrea and Ethiopia,1982,NA
Estonia,1982,NA
Ethiopia,1982,NA
Faeroe Islands,1982,NA
Falkland Is (Malvinas),1982,NA
Fiji,1982,NA
Finland,1982,NA
France,1982,NA
French Guiana,1982,NA
French Polynesia,1982,NA
Gabon,1982,NA
Gambia,1982,NA
Georgia,1982,NA
Germany,1982,0.022875823
Ghana,1982,NA
Gibraltar,1982,NA
Greece,1982,NA
Greenland,1982,NA
Grenada,1982,NA
Guadeloupe,1982,NA
Guam,1982,NA
Guatemala,1982,NA
Guernsey,1982,NA
Guinea,1982,NA
Guinea-Bissau,1982,NA
Guyana,1982,NA
Haiti,1982,NA
Holy See,1982,NA
Honduras,1982,NA
"Hong Kong, China",1982,NA
Hungary,1982,NA
Iceland,1982,NA
India,1982,NA
Indonesia,1982,NA
Iran,1982,NA
Iraq,1982,NA
Ireland,1982,0.015104416
Isle of Man,1982,NA
Israel,1982,NA
Italy,1982,NA
Jamaica,1982,NA
Japan,1982,NA
Jersey,1982,NA
Jordan,1982,NA
Kazakhstan,1982,NA
Kenya,1982,NA
Kiribati,1982,NA
North Korea,1982,NA
South Korea,1982,NA
"United Korea (former)
",1982,NA
Kosovo,1982,NA
Kuwait,1982,NA
Kyrgyz Republic,1982,NA
Lao,1982,NA
Latvia,1982,NA
Lebanon,1982,NA
Lesotho,1982,NA
Liberia,1982,NA
Libya,1982,NA
Liechtenstein,1982,NA
Lithuania,1982,NA
Luxembourg,1982,NA
"Macao, China",1982,NA
"Macedonia, FYR",1982,NA
Madagascar,1982,NA
Malawi,1982,NA
Malaysia,1982,NA
Maldives,1982,NA
Mali,1982,0.012575162
Malta,1982,NA
Marshall Islands,1982,NA
Martinique,1982,NA
Mauritania,1982,NA
Mauritius,1982,NA
Mayotte,1982,NA
Mexico,1982,NA
"Micronesia, Fed. Sts.",1982,NA
Moldova,1982,NA
Monaco,1982,NA
Mongolia,1982,NA
Montenegro,1982,NA
Montserrat,1982,NA
Morocco,1982,NA
Mozambique,1982,NA
Myanmar,1982,NA
Namibia,1982,NA
Nauru,1982,NA
Nepal,1982,NA
Netherlands,1982,0.010807512
Netherlands Antilles,1982,NA
New Caledonia,1982,NA
New Zealand,1982,NA
Ngorno-Karabakh,1982,NA
Nicaragua,1982,NA
Niger,1982,NA
Nigeria,1982,NA
Niue,1982,NA
Norfolk Island,1982,NA
Northern Cyprus,1982,NA
Northern Mariana Islands,1982,NA
Norway,1982,NA
Oman,1982,NA
Pakistan,1982,NA
Palau,1982,NA
Panama,1982,NA
Papua New Guinea,1982,NA
Paraguay,1982,NA
Peru,1982,NA
Philippines,1982,NA
Pitcairn,1982,NA
Poland,1982,NA
Portugal,1982,NA
Puerto Rico,1982,NA
Qatar,1982,NA
Reunion,1982,NA
Romania,1982,NA
Russia,1982,NA
Rwanda,1982,NA
St. BarthÃ©lemy,1982,NA
St. Helena,1982,NA
St. Kitts and Nevis,1982,NA
St. Lucia,1982,NA
St. Martin,1982,NA
St. Vincent and the Grenadines,1982,NA
St.-Pierre-et-Miquelon,1982,NA
Samoa,1982,NA
San Marino,1982,NA
Sao Tome and Principe,1982,NA
Saudi Arabia,1982,NA
Senegal,1982,NA
Serbia,1982,NA
Serbia and Montenegro,1982,NA
Serbia excluding Kosovo,1982,NA
Seychelles,1982,NA
Sierra Leone,1982,NA
Singapore,1982,NA
Slovak Republic,1982,NA
Slovenia,1982,NA
Solomon Islands,1982,NA
Somalia,1982,NA
Somaliland,1982,NA
South Africa,1982,NA
South Ossetia,1982,NA
Spain,1982,NA
Sri Lanka,1982,NA
Sudan,1982,NA
Suriname,1982,NA
Svalbard,1982,NA
Swaziland,1982,0.01097002
Sweden,1982,NA
Switzerland,1982,NA
Syria,1982,NA
Taiwan,1982,NA
Tajikistan,1982,NA
Tanzania,1982,NA
Thailand,1982,NA
Timor-Leste,1982,NA
Togo,1982,NA
Tokelau,1982,NA
Tonga,1982,NA
Transnistria,1982,NA
Trinidad and Tobago,1982,0.010653031
Tunisia,1982,NA
Turkey,1982,NA
Turkmenistan,1982,NA
Turks and Caicos Islands,1982,NA
Tuvalu,1982,NA
Uganda,1982,NA
Ukraine,1982,NA
United Arab Emirates,1982,NA
United Kingdom,1982,NA
United States,1982,NA
Uruguay,1982,NA
USSR,1982,NA
Uzbekistan,1982,NA
Wallis et Futuna,1982,NA
Vanuatu,1982,NA
Venezuela,1982,NA
West Bank and Gaza,1982,NA
West Germany,1982,NA
Western Sahara,1982,NA
Vietnam,1982,NA
Virgin Islands (U.S.),1982,NA
North Yemen (former),1982,NA
South Yemen (former),1982,NA
Yemen,1982,NA
Yugoslavia,1982,NA
Zambia,1982,NA
Zimbabwe,1982,NA
Ã…land,1982,NA
South Sudan,1982,NA
Christian,1982,NA
Coastline,1982,NA
CuraÃ§ao,1982,NA
Sint Maarten (Dutch part),1982,NA
St. Martin (French part),1982,NA
Antarctica,1982,NA
"Virgin Islands, British",1982,NA
Hawaiian Trade Zone,1982,NA
U.S. Pacific Islands,1982,NA
Wake Island,1982,NA
Bonaire,1982,NA
Sark,1982,NA
Chinese Taipei,1982,NA
Saint Eustatius,1982,NA
Saba,1982,NA
Abkhazia,1983,NA
Afghanistan,1983,NA
Akrotiri and Dhekelia,1983,NA
Albania,1983,NA
